Date,Open,High,Low,Close,Volume
12/18/2024,"577.49","579.47","544.49","550.25","3,271,563"
12/17/2024,"580.84","581.61","572.29","574.68","2,314,490"
12/16/2024,"588.00","588.27","578.70","586.33","1,713,320"
12/13/2024,"594.00","595.00","585.08","585.48","1,215,371"
12/12/2024,"592.59","596.32","588.61","591.61","1,218,538"
12/11/2024,"590.12","593.71","586.90","592.56","2,195,314"
12/10/2024,"590.00","596.27","583.76","585.03","2,600,805"
12/09/2024,"598.99","603.00","593.72","594.12","1,633,266"
12/06/2024,"597.16","600.00","594.37","599.68","1,405,677"
12/05/2024,"600.53","606.56","596.35","596.80","1,672,772"
12/04/2024,"603.00","604.28","596.76","598.71","1,617,529"
12/03/2024,"608.96","611.42","600.80","602.08","1,718,093"
12/02/2024,"608.00","611.91","601.30","601.71","1,804,365"
11/29/2024,"609.31","612.73","607.06","608.57","1,170,180"
11/27/2024,"607.68","612.25","603.28","605.43","1,424,558"
11/26/2024,"600.13","607.19","593.00","605.50","2,846,937"
11/25/2024,"608.79","611.30","598.83","603.03","2,940,763"
11/22/2024,"596.22","603.94","594.44","602.78","1,733,996"
11/21/2024,"586.51","600.70","584.51","596.11","2,282,297"
11/20/2024,"583.83","587.80","576.62","581.93","1,528,869"
11/19/2024,"579.66","584.76","575.51","581.38","2,217,724"
11/18/2024,"594.71","595.07","584.72","587.99","1,857,601"
11/15/2024,"593.36","595.14","587.09","593.54","2,007,812"
11/14/2024,"600.00","601.53","586.24","588.61","1,670,468"
11/13/2024,"594.63","603.55","592.65","594.22","1,763,195"
11/12/2024,"598.05","602.09","591.47","592.59","2,392,850"
11/11/2024,"598.90","607.15","596.17","602.34","2,510,802"
11/08/2024,"586.42","595.15","581.30","589.26","2,713,956"
11/07/2024,"590.00","595.00","581.52","582.17","4,475,600"
11/06/2024,"567.30","598.61","566.10","595.98","8,042,841"
11/05/2024,"513.00","527.46","512.60","526.96","2,169,936"
11/04/2024,"518.00","518.05","510.51","511.47","1,798,045"
11/01/2024,"520.00","526.64","517.04","519.35","1,625,284"
10/31/2024,"522.44","525.00","514.53","517.79","2,061,658"
10/30/2024,"523.40","530.79","523.07","524.40","1,441,947"
10/29/2024,"521.18","527.24","521.00","524.28","1,281,786"
10/28/2024,"515.40","524.59","514.98","523.58","1,687,386"
10/25/2024,"528.05","528.80","510.74","512.60","1,633,203"
10/24/2024,"519.00","525.00","518.20","524.50","2,058,176"
10/23/2024,"515.80","520.00","513.40","517.20","1,263,151"
10/22/2024,"515.61","519.63","512.94","518.30","1,587,978"
10/21/2024,"528.00","529.85","517.00","517.80","1,752,085"
10/18/2024,"529.39","530.77","526.87","528.50","1,779,315"
10/17/2024,"531.24","535.29","528.23","529.00","2,123,514"
10/16/2024,"530.00","536.22","525.98","529.86","2,649,018"
10/15/2024,"538.80","540.51","515.51","522.38","4,525,395"
10/14/2024,"517.65","523.07","515.51","522.75","2,174,891"
10/11/2024,"508.00","517.97","507.80","516.30","2,409,660"
10/10/2024,"506.31","506.80","499.59","503.72","1,309,042"
10/09/2024,"498.20","506.27","495.25","505.18","1,695,949"
10/08/2024,"497.00","498.34","492.78","496.57","1,296,762"
10/07/2024,"494.63","499.01","490.79","494.62","1,173,326"
10/04/2024,"495.64","496.31","486.00","495.16","1,721,821"
10/03/2024,"489.93","490.51","484.20","486.10","1,290,719"
10/02/2024,"491.17","494.86","487.95","491.99","1,445,116"
10/01/2024,"494.58","494.58","484.61","490.17","1,528,568"
09/30/2024,"494.89","496.52","488.90","495.11","1,603,079"
09/27/2024,"498.97","505.40","495.86","498.51","1,420,298"
09/26/2024,"494.00","498.40","492.48","496.92","1,378,145"
09/25/2024,"498.50","502.00","490.40","491.14","1,763,943"
09/24/2024,"497.59","499.56","494.10","498.02","1,035,466"
09/23/2024,"498.21","501.40","495.22","497.41","953,191"
09/20/2024,"500.19","502.05","495.48","498.43","4,452,617"
09/19/2024,"494.74","506.41","493.46","503.83","3,060,671"
09/18/2024,"485.40","492.99","481.77","484.58","1,699,498"
09/17/2024,"488.00","489.73","481.80","485.39","1,444,884"
09/16/2024,"481.43","487.38","479.49","485.16","1,500,456"
09/13/2024,"475.99","482.10","475.50","478.99","1,794,645"
09/12/2024,"471.30","474.34","465.40","474.06","1,482,197"
09/11/2024,"463.98","471.89","457.48","471.17","2,426,457"
09/10/2024,"489.13","489.20","461.57","467.13","3,583,073"
09/09/2024,"485.53","494.28","483.39","488.57","1,714,183"
09/06/2024,"486.60","495.41","477.06","479.61","1,995,561"
09/05/2024,"493.58","495.77","483.07","487.88","1,828,331"
09/04/2024,"486.70","496.20","486.70","490.64","1,509,436"
09/03/2024,"507.47","509.70","485.40","487.46","2,372,430"
08/30/2024,"507.83","511.19","505.17","510.25","1,839,064"
08/29/2024,"506.00","513.24","501.14","510.10","1,566,250"
08/28/2024,"506.60","508.37","498.47","503.33","1,568,072"
08/27/2024,"507.84","511.48","506.59","507.26","977,917"
08/26/2024,"512.34","513.50","505.32","507.87","1,084,335"
08/23/2024,"502.75","512.44","499.85","509.42","1,751,832"
08/22/2024,"497.00","499.70","494.79","497.75","944,020"
08/21/2024,"499.50","500.78","494.03","496.46","917,087"
08/20/2024,"503.87","504.16","496.50","497.34","2,122,653"
08/19/2024,"505.00","507.78","501.86","504.68","1,028,042"
08/16/2024,"497.05","504.91","497.00","504.26","1,587,216"
08/15/2024,"505.00","506.91","498.26","499.02","1,732,298"
08/14/2024,"492.90","499.35","488.40","498.70","1,545,768"
08/13/2024,"490.29","493.27","486.47","491.94","1,243,798"
08/12/2024,"490.26","492.87","483.75","485.50","1,839,468"
08/09/2024,"485.02","492.00","482.20","490.26","1,622,719"
08/08/2024,"477.87","487.73","477.16","485.77","1,936,684"
08/07/2024,"479.39","488.55","472.57","473.01","2,587,633"
08/06/2024,"461.01","475.25","457.43","470.22","2,209,283"
08/05/2024,"447.59","463.18","437.37","459.02","4,177,225"
08/02/2024,"491.10","494.46","467.21","470.64","6,115,462"
08/01/2024,"510.00","514.02","494.68","500.12","4,006,779"
07/31/2024,"504.86","517.26","504.86","509.03","2,658,903"
07/30/2024,"498.31","509.47","498.30","505.67","2,642,528"
07/29/2024,"500.42","502.00","491.06","492.72","1,599,475"
07/26/2024,"495.72","504.00","495.65","499.03","2,249,857"
07/25/2024,"486.05","496.11","483.23","491.71","1,489,796"
07/24/2024,"489.26","495.99","485.82","486.70","1,579,590"
07/23/2024,"487.08","495.81","486.28","492.15","2,020,493"
07/22/2024,"484.56","489.47","482.38","487.04","1,792,477"
07/19/2024,"489.12","492.60","483.19","484.93","2,032,670"
07/18/2024,"499.52","503.69","484.22","486.21","3,320,237"
07/17/2024,"503.00","509.48","499.43","502.18","3,909,113"
07/16/2024,"494.00","506.59","491.99","503.02","3,981,658"
07/15/2024,"480.25","493.00","476.31","492.23","3,568,195"
07/12/2024,"480.93","483.44","478.10","479.88","2,727,751"
07/11/2024,"480.00","483.16","476.27","479.23","2,252,304"
07/10/2024,"472.51","479.86","469.85","478.89","1,946,041"
07/09/2024,"465.60","479.30","461.58","472.83","4,525,354"
07/08/2024,"467.65","474.86","464.04","464.82","2,214,374"
07/05/2024,"467.47","467.58","460.13","464.75","1,594,040"
07/03/2024,"469.04","469.89","465.82","467.92","993,915"
